Last Traded Time,Company Name,Symbol,Last Traded Price(Rs),Trade Volume,Share Volume,Turnover (Rs),Change (Rs),Change (%)
02:25 PM,HAYCARB PLC,HAYC.N0000,250.00,36.00,6895.00,1722215.20,6.80,2.80
02:25 PM,SRI LANKA TELECOM PLC,SLTL.N0000,28.00,17.00,2502.00,70255.00,-0.40,-1.41
02:25 PM,SOFTLOGIC FINANCE PLC,CRL.N0000,14.60,36.00,50137.00,737730.50,0.10,0.69
02:25 PM,MULLER AND PHIPPS (CEYLON) PLC,MULL.N0000,0.70,7.00,64080.00,49864.00,-0.10,-12.50
02:25 PM,INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,0.20,62.00,8169055.00,1633800.90,0.00,0.00
02:26 PM,HAYLEYS FABRIC PLC,MGT.N0000,12.70,169.00,589444.00,7494907.30,-0.10,-0.78
02:26 PM,SWISSTEK (CEYLON) PLC,PARQ.N0000,41.00,42.00,70718.00,2922575.00,-0.10,-0.24
02:26 PM,ABANS ELECTRICALS PLC,ABAN.N0000,86.20,11.00,3113.00,271763.60,1.80,2.13
02:26 PM,HVA FOODS PLC,HVA.N0000,4.00,122.00,732630.00,2983157.10,-0.10,-2.44
02:27 PM,MACKWOODS ENERGY PLC,MEL.N0000,1.70,60.00,107856.00,180175.80,-0.10,-5.56
02:27 PM,SANASA DEVELOPMENT BANK PLC,SDB.N0000,55.00,107.00,59808.00,3294837.80,1.10,2.04
02:27 PM,ELPITIYA PLANTATIONS PLC,ELPL.N0000,18.20,13.00,6514.00,118975.20,-0.10,-0.55
02:27 PM,REGNIS(LANKA) PLC,REG.N0000,63.30,29.00,9870.00,623745.60,0.90,1.44
02:27 PM,RICHARD PIERIS EXPORTS PLC,REXP.N0000,225.60,12.00,229.00,51881.10,-2.40,-1.05
02:27 PM,L B FINANCE PLC,LFIN.N0000,132.40,77.00,26807.00,3562723.90,-1.60,-1.19
02:27 PM,LANKA ASHOK LEYLAND PLC,ASHO.N0000,636.10,2.00,2.00,1377.90,0.00,0.00
02:27 PM,PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,11.80,70.00,376483.00,4455762.90,-0.10,-0.84
02:27 PM,MELSTACORP PLC,MELS.N0000,28.50,68.00,126936.00,3621614.60,0.00,0.00
02:27 PM,CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,67.70,5.00,5112.00,346583.60,-0.20,-0.29
02:27 PM,THE KINGSBURY PLC,SERV.N0000,10.10,14.00,4398.00,44708.00,-0.10,-0.98
02:27 PM,KELANI CABLES PLC,KCAB.N0000,84.10,59.00,9405.00,792215.10,-0.30,-0.36
02:27 PM,CEYLON HOSPITALS PLC (DURDANS),CHL.N0000,82.10,3.00,55.00,4762.50,0.00,0.00
02:28 PM,CITRUS LEISURE  PLC,REEF.N0000,11.90,84.00,91899.00,1096298.60,-0.10,-0.83
02:28 PM,ALUMEX PLC,ALUM.N0000,11.70,20.00,33806.00,396624.80,-0.10,-0.85
02:28 PM,AITKEN SPENCE PLC,SPEN.N0000,35.00,38.00,31491.00,1101213.40,0.00,0.00
02:28 PM,CIC HOLDINGS PLC,CIC.N0000,71.00,114.00,147995.00,10530405.90,-4.00,-5.33
02:28 PM,HATTON NATIONAL BANK PLC,HNB.N0000,110.70,227.00,1280396.00,142632966.50,-0.50,-0.45
02:28 PM,SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,30.00,3.00,2270.00,68103.00,0.50,1.69
02:28 PM,COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,23.60,204.00,507188.00,11696744.50,-1.00,-4.07
02:28 PM,UNION BANK OF COLOMBO PLC,UBC.N0000,9.90,443.00,1646179.00,16417339.70,0.70,7.61
